builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
ryzen-5-1600AF-zeus;2-build-test;0.58;0.08;1:01.43;1;0;0;32400;7072;2864;20;20309;0
ryzen-5-1600AF-zeus;3-fetch;4.44;0.70;19:18.84;0;0;0;29400;136;1048;1;14021;0
ryzen-7-5700X-64gb-Ubuntu-22.04-kirkstone-2022-07;1-init;0.03;0.01;0:00.06;80;0;0;13768;22360;4360;98;6010;0
ryzen-7-5700X-64gb-Ubuntu-22.04-kirkstone-2022-07;2-build-test;0.41;0.03;0:56.18;0;0;0;37244;0;3384;0;17586;0
ryzen-7-5700X-64gb-Ubuntu-22.04-kirkstone-2022-07;3-fetch;3.13;0.29;47:17.58;0;0;0;32732;0;792;0;12559;0
ryzen-7-Pro-6850U-32gb-KUbuntu-22.04-kirkstone-2022-07;1-init;0.03;0.04;0:00.14;51;0;0;7508;30272;1344;118;5336;0
ryzen-7-Pro-6850U-32gb-KUbuntu-22.04-kirkstone-2022-07;2-build-test;0.28;0.05;0:47.03;0;0;0;32492;14384;192;44;13934;0
ryzen-7-Pro-6850U-32gb-KUbuntu-22.04-kirkstone-2022-07;3-fetch;21.07;3.04;1:07:51;0;0;0;32800;9536;680;1;14008;0
ryzen-9-5950x-128gb-docker-hardknott;1-init;12.15;2.95;1:39.67;15;0;0;140672;0;701056;0;141704;0
ryzen-9-5950x-128gb-docker-hardknott;2-build-test;0.30;0.03;0:41.36;0;0;0;30844;0;2792;0;18766;0
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;2.81;0.26;37:22.59;0;0;0;28768;0;656;0;12952;0
ryzen-9-5950x-128gb-docker-zeus;1-init;12.26;3.16;1:48.89;14;0;0;136800;288;765632;3;152468;0
ryzen-9-5950x-128gb-docker-zeus;2-build-test;0.30;0.02;0:32.79;1;0;0;30632;1504;2696;6;19021;0
ryzen-9-5950x-128gb-docker-zeus;3-fetch;3.25;0.26;1:17:22;0;0;0;28160;0;624;0;13071;0
ryzen-9-5950x-zeus;1-init;0.11;0.02;0:00.13;103;0;0;41672;0;4032;0;11464;0
