builder-name;codename;cpu;cpu-link;cores;threads;freq;ram;ram-type;ram-link;channels;channels used;modules;freq;swap;raid;drives;drives-link;filesystem;OS;Kernel;System;System Link;other
threadripper-3970x-128gb;3970x-wendell;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.amazon.com/dp/B0836NZHWR/ref=cm_sw_em_r_mt_dp_U_eNemEb2NATMVM?tag=level1techs-20&pldnSite=1;4;4;4x32G;?;optane;?;?;?;optane;Ubuntu 19.10;5.3.0-29;Gigabyte TRX40 DESIGNARE;https://www.gigabyte.com/Motherboard/TRX40-DESIGNARE-rev-10#kf;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;no;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 20.04;5.4.0-26;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;no;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 20.04;5.4.0-26;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 20.10;5.8.0-25;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;no;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 21.04;5.11.5;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;no;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 21.04;5.11.5;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;latest dunfell revisions as of 2021-03-15
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 21.04;5.11.5;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Ubuntu 21.10;5.13.1;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-dunfell-2022-07;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;48G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.19.0;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-honister-2021-09;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.16.13;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
threadripper-3970x-128gb-gentoo-honister-2022-03;JaMa;AMD TR 3970X;https://www.amd.com/en/products/cpu/amd-ryzen-threadripper-3970x;32;64;3.7-4.5;128;DDR4 UDIMM;https://www.gskill.com/product/165/326/1582537062/F4-3200C16Q-128GTZRTrident-Z-RGBDDR4-3200MHz-CL16-18-18-38-1.35V128GB-(4x32GB);4;4;4x32G;?;32G NVME;---;?;https://www.gigabyte.com/cz/Solid-State-Drive/AORUS-NVMe-Gen4-SSD-2TB#kf;ext4 nobarrier nojournal;Gentoo 2.8;5.16.13;ASUS ROG ZENITH II EXTREME;https://www.asus.com/Motherboards/ROG-Zenith-II-Extreme/;---
