task;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;ryzen-5-1600AF;ryzen-5-1600AF;ryzen-5-1600AF;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-64gb;threadripper-3970x-64gb;threadripper-3970x-64gb;threadripper-3970x-64gb
sec;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb
qtbase.do_compile;1919.67;976.57;1728.68;864.42;909.19;417.72;875.86;409.84;845.66;422.41;880.05;410.22;841.82;440.80;901.26;390.19;1064.83;485.58;1042.55;440.25;1008.22;506.23;1007.56;435.99;3987.69;3766.96;1345.32;1126.82;520.99;1259.72;437.64;720.32;300.96;708.90;266.21;721.75;342.56;723.55;280.38
qtbase.do_configure;584.45;388.21;614.24;339.02;335.07;297.37;369.82;274.28;311.11;309.17;360.48;271.50;307.37;314.12;361.12;269.92;338.58;287.45;376.54;246.07;358.71;286.42;354.91;250.86;833.53;1105.08;261.87;448.44;---;453.50;208.48;186.05;160.30;195.79;153.15;187.87;161.79;197.96;155.20
qtbase.do_package;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;121.00;---;---;---;87.42;---;---;---;90.32
qtbase.do_package_write_rpm;---;---;---;---;249.74;---;252.93;---;---;---;262.15;---;---;---;293.99;---;280.31;---;286.15;---;---;---;283.30;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
qtdeclarative.do_compile;1112.05;496.17;1172.37;345.15;625.35;221.93;625.60;190.71;632.46;231.96;640.79;196.52;626.18;229.62;647.28;195.63;681.80;259.25;765.73;206.39;761.77;---;721.17;197.72;1833.29;1681.40;485.55;568.62;342.34;520.60;182.32;328.40;156.16;329.45;120.92;362.20;159.50;358.98;122.45
qtlocation.do_compile;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;787.00;---;---;---;---;---;---;---;---;---;---;---;---;---
qtmultimedia.do_compile;---;---;521.01;154.92;---;---;---;---;---;---;222.86;---;---;---;222.08;---;---;---;270.51;---;280.23;---;250.82;---;1008.47;1051.59;216.21;---;---;---;---;---;---;---;---;151.27;---;142.44;---
qtquickcontrols2.do_compile;632.62;475.66;606.38;187.46;289.90;---;317.64;---;302.79;206.27;307.87;---;302.46;214.95;312.27;---;329.52;289.14;399.96;---;357.77;---;362.27;---;1233.82;1332.53;---;---;247.38;288.00;---;156.63;---;158.63;---;185.68;149.17;193.38;---
qtwebengine.do_compile;6356.10;6743.55;6492.25;2252.18;2269.82;2391.35;2311.44;834.50;2314.24;2249.42;2306.12;837.91;2300.01;2080.07;2307.80;838.43;2900.42;2928.48;2891.56;1029.51;2770.45;2283.09;2828.24;1009.87;12969.35;13250.81;5030.75;3243.81;3559.41;3181.00;1001.33;1866.87;1989.36;1904.15;574.63;2710.93;2016.46;2570.37;610.23
qtwebengine.do_package_write_rpm;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;261.33;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
