builder;step;task;time
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;clang-native.do_compile;900.88
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;clang-native.do_compile;833.16
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;clang-native.do_compile;786.91
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;clang-native.do_compile;683.29
dual-Xeon-E5-2698-v4-4-channels;4-build-all;clang-native.do_compile;904.15
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;clang-native.do_compile;834.15
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;clang-native.do_compile;799.71
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;clang-native.do_compile;681.93
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;clang-native.do_compile;1101.03
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;clang-native.do_compile;1056.22
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;clang-native.do_compile;986.53
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;clang-native.do_compile;942.16
dual-Xeon-E5-2699-v3-8-channels;4-build-all;clang-native.do_compile;1092.48
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;clang-native.do_compile;783.47
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;clang-native.do_compile;985.59
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;clang-native.do_compile;860.37
ryzen-5-1600AF;4-build-all;clang-native.do_compile;5932.45
ryzen-5-1600AF;6-build-16-bb;clang-native.do_compile;6675.66
ryzen-5-1600AF;7-build-2-bb;clang-native.do_compile;3397.07
threadripper-3970x-64gb;4-build-all;clang-native.do_compile;824.90
threadripper-3970x-64gb;5-build-8-bb;clang-native.do_compile;613.35
threadripper-3970x-64gb;6-build-16-bb;clang-native.do_compile;652.57
threadripper-3970x-64gb;7-build-2-bb;clang-native.do_compile;361.62
dual-Xeon-E5-2670-8-channels;4-build-all;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2670-8-channels;5-build-8-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2670-8-channels;6-build-16-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2670-8-channels;7-build-2-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels;4-build-all;clang-native.do_populate_sysroot;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;clang-native.do_populate_sysroot;---
