builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;32;rust-native;476.22;0.06;0.38;0%;32;12823;12851;0;39340
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;48;chromium-x11;2937.99;1.22;10.35;0%;2871;151983;12860;0;39068
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;48;qtbase;240.30;0.04;0.40;0%;29;14625;12861;0;39092
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;48;qtdeclarative;125.38;0.05;0.36;0%;25;14467;12857;0;39132
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;48;qtwebengine;1070.01;0.52;5.16;0%;1573;80280;12856;0;39032
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;48;rust-native;486.58;0.06;0.40;0%;39;12973;12855;0;39132
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;64;chromium-x11;2700.89;1.09;10.22;0%;1785;130570;12858;0;39660
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;64;qtbase;231.99;0.06;0.40;0%;33;14984;12861;0;39248
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;64;qtdeclarative;122.27;0.06;0.34;0%;28;14503;12853;0;39004
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;64;qtwebengine;973.42;0.48;5.05;0%;848;69909;12849;0;38968
threadripper-3970x-128gb-ubuntu-21.10-honister-2021-09;128;4;30G;;64;rust-native;483.22;0.05;0.37;0%;37;12808;12845;0;39204
threadripper-3990x-256gb-zeus;128;4;x;;128;chromium-x11;1215.19;2.01;16.32;1%;6239;127521;10070;0;29036
threadripper-3990x-256gb-zeus;128;4;x;;128;qtbase;236.01;0.06;0.43;0%;36;12334;10049;0;28884
threadripper-3990x-256gb-zeus;128;4;x;;128;qtdeclarative;112.47;0.03;0.38;0%;23;12930;10053;0;29040
threadripper-3990x-256gb-zeus;128;4;x;;128;qtwebengine;406.16;0.62;4.40;1%;450;57538;10063;0;29128
threadripper-3990x-256gb-zeus;128;4;x;;128;rust-native;1248.77;0.06;0.45;0%;20;13450;10057;0;29140
threadripper-3990x-256gb-zeus;128;4;x;;64;chromium-x11;1340.32;1.49;11.14;0%;306;135834;10067;0;29060
threadripper-3990x-256gb-zeus;128;4;x;;64;qtbase;243.86;0.05;0.41;0%;23;12600;10061;0;28972
threadripper-3990x-256gb-zeus;128;4;x;;64;qtdeclarative;117.35;0.03;0.34;0%;24;11714;10047;0;28944
threadripper-3990x-256gb-zeus;128;4;x;;64;qtwebengine;469.32;0.37;3.54;0%;1591;61785;10060;0;28896
threadripper-3990x-256gb-zeus;128;4;x;;64;rust-native;1298.85;0.06;0.45;0%;27;13809;10050;0;28836
threadripper-3990x-256gb-zeus;128;4;x;;96;chromium-x11;1247.37;1.91;14.37;1%;444;126771;10055;0;28988
threadripper-3990x-256gb-zeus;128;4;x;;96;qtbase;238.60;0.04;0.43;0%;24;12779;10050;0;29064
threadripper-3990x-256gb-zeus;128;4;x;;96;qtdeclarative;116.26;0.04;0.36;0%;22;12536;10061;0;28940
threadripper-3990x-256gb-zeus;128;4;x;;96;qtwebengine;448.98;0.57;3.98;1%;23;60853;10063;0;29136
threadripper-3990x-256gb-zeus;128;4;x;;96;rust-native;1299.16;0.03;0.49;0%;22;14558;10065;0;29156
xeon-e3-1275-v5-dunfell;64;2;16G;;4;chromium-x11;19286.38;1.33;12.16;0%;25;207183;9718;0;28764
xeon-e3-1275-v5-dunfell;64;2;16G;;4;qtbase;1862.61;0.12;0.78;0%;2;20999;9727;0;28804
xeon-e3-1275-v5-dunfell;64;2;16G;;4;qtdeclarative;526.10;0.08;0.49;0%;3;16048;9736;0;30480
xeon-e3-1275-v5-dunfell;64;2;16G;;4;qtwebengine;5842.48;0.49;4.49;0%;33;84423;9731;0;28672
xeon-e3-1275-v5-dunfell;64;2;16G;;4;rust-native;1903.87;0.12;0.70;0%;2;17851;9717;0;28764
xeon-e3-1275-v5-dunfell;64;2;16G;;6;chromium-x11;16863.00;1.18;10.87;0%;13;157471;9717;0;28224
xeon-e3-1275-v5-dunfell;64;2;16G;;6;qtbase;1732.65;0.11;0.76;0%;2;20334;9728;0;28708
xeon-e3-1275-v5-dunfell;64;2;16G;;6;qtdeclarative;466.04;0.09;0.44;0%;4;15158;9716;0;28256
xeon-e3-1275-v5-dunfell;64;2;16G;;6;qtwebengine;5233.13;0.36;4.22;0%;18;67295;9728;0;28744
xeon-e3-1275-v5-dunfell;64;2;16G;;6;rust-native;1760.33;0.11;0.68;0%;1;17128;9726;0;28708
xeon-e3-1275-v5-dunfell;64;2;16G;;8;chromium-x11;14905.51;1.00;10.13;0%;6;149489;9715;0;28252
xeon-e3-1275-v5-dunfell;64;2;16G;;8;qtbase;1649.99;0.10;0.76;0%;3;20061;9711;0;28292
xeon-e3-1275-v5-dunfell;64;2;16G;;8;qtdeclarative;421.79;0.10;0.56;0%;93;15957;9724;0;28664
xeon-e3-1275-v5-dunfell;64;2;16G;;8;qtwebengine;4742.39;0.31;4.08;0%;5;64399;9712;0;28256
xeon-e3-1275-v5-dunfell;64;2;16G;;8;rust-native;1698.23;0.09;0.68;0%;5;16730;9727;0;28704
