builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;-use-PM;64;rust-native;590.03;0.05;0.39;0%;38;12499;10599;0;30380
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;32;chromium-x11;2348.95;0.89;8.47;0%;834;143410;10706;0;30496
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;32;qtbase;284.52;0.07;0.37;0%;27;13605;10574;0;30432
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;32;qtdeclarative;115.18;0.03;0.35;0%;38;13160;10687;0;30448
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;32;qtwebengine;749.55;0.34;3.01;0%;244;64531;10556;0;30460
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;32;rust-native;890.52;0.04;0.44;0%;36;13678;10553;0;30372
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;48;chromium-x11;2050.84;0.85;9.39;0%;1354;124504;10631;0;29596
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;48;qtbase;269.78;0.05;0.39;0%;38;13524;10580;0;29780
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;48;qtdeclarative;109.27;0.06;0.34;0%;28;14777;10584;0;30548
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;48;qtwebengine;651.00;0.46;3.18;0%;432;60360;10582;0;30536
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;48;rust-native;900.21;0.06;0.45;0%;37;14102;10549;0;30476
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;64;chromium-x11;1840.75;0.95;9.73;0%;2013;104240;10557;0;30708
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;64;qtbase;268.44;0.07;0.39;0%;30;13975;10592;0;30612
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;64;qtdeclarative;108.04;0.05;0.32;0%;30;12962;10583;0;30120
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;64;qtwebengine;583.46;0.44;3.33;0%;698;50237;10576;0;30708
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;128;4;64G;;64;rust-native;891.70;0.04;0.46;0%;40;13709;10578;0;30552
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;32;chromium-x11;2804.66;1.49;16.26;0%;1903;136364;10561;0;30384
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;32;qtbase;387.26;0.08;0.53;0%;44;11694;10542;0;30412
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;32;qtdeclarative;162.03;0.04;0.38;0%;30;10645;10571;0;30508
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;32;qtwebengine;869.28;0.35;3.84;0%;586;60911;10572;0;30624
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;48;chromium-x11;2707.09;1.99;22.21;0%;3688;120776;10566;0;30532
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;48;qtbase;407.16;0.08;0.62;0%;44;11609;10546;0;30480
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;128;2;64G;-2666-tmpfs;48;qtdeclarative;161.93;0.09;0.33;0%;31;10620;10562;0;30500
